borehole,section,flow_unknown_mean_2024,flow_unknown_std_2024,flow_unknown_mean_2025,flow_unknown_std_2025,flow_known_mean_2024,flow_known_std_2024,flow_known_mean_2025,flow_known_std_2025
22DR,0,-8.904,0.623,-8.837,0.903,-8.634,0.712,-8.746,0.132
22DR,1,-9.121,0.836,-8.336,0.916,-9.101,1.014,-8.382,0.159
22DR,2,-10.78,0.625,-10.524,1.028,-10.206,1.496,-10.02,0.278
23UR,0,-8.402,0.281,-8.502,0.831,-8.203,0.652,-7.804,0.082
23UR,1,-9.153,0.512,-8.054,1.035,-9.013,1.282,-7.978,0.048
23UR,2,-9.804,0.762,-9.361,0.645,-9.743,0.725,-7.114,0.075
24DR,0,-8.586,0.305,-9.088,0.863,-8.527,0.557,-7.985,0.097
24DR,1,-8.878,0.792,-8.989,0.921,-9.088,0.667,-8.548,0.22
24DR,2,-8.983,0.743,-8.771,0.684,-8.859,0.647,-8.462,0.162
26R,0,-8.495,1.186,-9.652,0.767,-8.823,0.885,-9.159,0.097
26R,1,-8.546,0.518,-9.7,0.64,-8.549,0.838,-8.574,0.12
26R,2,-8.575,0.786,-9.418,1.128,-8.208,0.885,-8.751,0.077
37R,0,-9.182,0.747,-9.522,1.154,-9.033,0.662,-9.198,0.107
37R,1,-8.752,0.421,-9.423,0.814,-8.606,0.456,-8.123,0.063
37R,2,-8.807,0.99,-9.447,0.671,-9.103,0.609,-9.667,0.034
37UR,0,-8.959,0.537,-9.929,0.668,-8.558,0.808,-9.017,0.087
37UR,1,-6.95,1.015,-8.272,0.514,-7.125,0.517,-6.48,0.059
37UR,2,-8.928,1.087,-9.209,0.914,-8.793,1.224,-8.941,0.34
49DL,0,-9.088,0.475,-8.368,0.796,-9.115,0.438,-7.168,0.052
49DL,1,-6.859,0.583,-7.464,0.328,-7.122,0.407,-6.758,0.127
49DL,2,-7.609,1.077,-7.919,0.648,-7.826,0.546,-8.289,0.085
50UL,0,-9.334,0.595,-9.417,0.417,-9.422,0.601,-7.86,0.078
50UL,1,-7.419,0.482,-8.266,0.749,-7.447,0.375,-6.781,0.046
50UL,2,-8.38,0.373,-10.2,0.925,-8.2,0.643,-5.119,0.109
